TEST_PLAYER_RESULTS_ID,STUDENT_ID,TEST_PLAYER_STUDENT_ID,ATTEMP_DATE,SCORE_DATE,RESCORE_FLAG,TEST_SERIAL_ID,TEST_PLAYER_TEST_SERIAL_ID,TEST_NAME,ASSESSMENT_TYPE_CODE,RAW_TOTAL_EARNED_SCORE,RAW_TOTAL_POSSIBLE_SCORE,ATTEMP_MODE_CODE,PROCTOR_MODE_CODE,SCHOOL_ID,TEST_PLAYER_SCHOOL_ID,COURSE_ID,TEST_PLAYER_COURSE_ID,COURSE_SECTION_ID,TEST_PLAYER_COURSE_SECTION_ID,SCHOOL_YEAR,TEACEHER_ID,TEST_PLAYER_TEACEHER_ID,STUDENT_TEST_IDENTIFIER,DELETE_DATE,PARENT_TEST_SERIAL_ID,TEST_PLAYER_PARENT_TEST_ID,COMPLETE_DATE,
"1273855","221173008","22732","2/17/2011 10:26:06 AM","3/3/2011 5:31:35 PM","Y","7.M.05_02","24976","7.M.05_02","Catalog","5","5","O","N","228","228","228-MATH-8-810","15453","810","810","2011","0","0","","","","","2/17/2011 10:30:39 AM"
"1274109","203936638","22384","2/18/2011 8:58:50 AM","3/3/2011 5:31:35 PM","Y","7.M.05_02","24976","7.M.05_02","Catalog","4","5","O","N","131","131","131-MATH-8-801","15419","801","801","2011","0","0","","","","","2/18/2011 9:02:14 AM"
"1274124","214599425","22395","2/18/2011 8:59:04 AM","3/3/2011 5:31:35 PM","Y","7.M.05_02","24976","7.M.05_02","Catalog","5","5","O","N","131","131","131-MATH-8-801","15419","801","801","2011","0","0","","","","","2/18/2011 9:01:36 AM"
"1275292","274825322","22524","2/28/2011 9:37:29 AM","3/3/2011 5:31:35 PM","Y","7.M.05_02","24976","7.M.05_02","Catalog","2","5","O","N","228","228","228-MATH-8-803","15448","803","803","2011","0","0","","","","","2/28/2011 9:45:49 AM"
"1275643","207005018","22725","2/28/2011 10:30:06 AM","3/3/2011 5:31:35 PM","Y","7.M.05_02","24976","7.M.05_02","Catalog","3","5","O","N","228","228","228-MATH-8-810","15453","810","810","2011","0","0","","","","","2/28/2011 10:37:08 AM"
"1275887","203371612","22778","2/28/2011 12:53:46 PM","3/3/2011 5:31:35 PM","Y","7.M.05_02","24976","7.M.05_02","Catalog","4","5","O","N","228","228","228-MATH-8-812","15455","812","812","2011","0","0","","","","","2/28/2011 1:02:10 PM"
"1275906","274785070","22766","2/28/2011 12:54:45 PM","3/3/2011 5:31:35 PM","Y","7.M.05_02","24976","7.M.05_02","Catalog","3","5","O","N","228","228","228-MATH-8-811","15454","811","811","2011","0","0","","","","","2/28/2011 12:56:35 PM"
"1275911","203416052","22779","2/28/2011 12:57:17 PM","3/3/2011 5:31:35 PM","Y","7.M.05_02","24976","7.M.05_02","Catalog","3","5","O","N","228","228","228-MATH-8-812","15455","812","812","2011","0","0","","","","","2/28/2011 12:58:00 PM"
"1276311","207090994","22620","3/1/2011 8:58:25 AM","3/3/2011 5:31:35 PM","Y","7.M.05_02","24976","7.M.05_02","Catalog","3","5","O","N","131","131","131-MATH-8-805","15423","805","805","2011","0","0","","","","","3/1/2011 9:01:29 AM"
"1276440","275046217","22527","3/1/2011 9:32:40 AM","3/3/2011 5:31:35 PM","Y","7.M.05_02","24976","7.M.05_02","Catalog","2","5","O","N","228","228","228-MATH-8-803","15448","803","803","2011","0","0","","","","","3/1/2011 9:36:30 AM"
"1277772","203581608","22603","3/2/2011 8:58:12 AM","3/3/2011 5:31:35 PM","Y","7.M.05_02","24976","7.M.05_02","Catalog","4","5","O","N","131","131","131-MATH-8-805","15423","805","805","2011","0","0","","","","","3/2/2011 9:02:09 AM"
"1278335","205884604","22787","3/2/2011 12:55:21 PM","3/3/2011 5:31:35 PM","Y","7.M.05_02","24976","7.M.05_02","Catalog","5","5","O","N","228","228","228-MATH-8-812","15455","812","812","2011","0","0","","","","","3/2/2011 12:59:51 PM"
"1278129","274564483","22629","3/2/2011 10:25:54 AM","3/3/2011 5:35:50 PM","Y","7.M.07_01","24981","7.M.07_01","Catalog","5","5","O","N","228","228","228-MATH-8-805","15450","805","805","2011","0","0","","","","","3/2/2011 10:32:42 AM"
"1278159","200896173","22715","3/2/2011 10:27:29 AM","3/3/2011 5:35:50 PM","Y","7.M.07_01","24981","7.M.07_01","Catalog","3","5","O","N","228","228","228-MATH-8-810","15453","810","810","2011","0","0","","","","","3/2/2011 10:33:36 AM"
"1278171","214897951","22624","3/2/2011 10:27:50 AM","3/3/2011 5:35:50 PM","Y","7.M.07_01","24981","7.M.07_01","Catalog","1","5","O","N","228","228","228-MATH-8-805","15450","805","805","2011","0","0","","","","","3/2/2011 10:36:13 AM"
"1278253","203915111","22812","3/2/2011 12:50:22 PM","3/3/2011 5:35:50 PM","Y","7.M.07_01","24981","7.M.07_01","Catalog","4","5","O","N","228","228","228-MATH-8-813","15456","813","813","2011","0","0","","","","","3/2/2011 12:58:53 PM"
"1278256","208514232","22821","3/2/2011 12:50:36 PM","3/3/2011 5:35:50 PM","Y","7.M.07_01","24981","7.M.07_01","Catalog","4","5","O","N","228","228","228-MATH-8-813","15456","813","813","2011","0","0","","","","","3/2/2011 12:58:24 PM"
