TEST_PLAYER_RESULTS_ID,STUDENT_ID,TEST_PLAYER_STUDENT_ID,ATTEMP_DATE,SCORE_DATE,RESCORE_FLAG,TEST_SERIAL_ID,TEST_PLAYER_TEST_SERIAL_ID,TEST_NAME,ASSESSMENT_TYPE_CODE,RAW_TOTAL_EARNED_SCORE,RAW_TOTAL_POSSIBLE_SCORE,ATTEMP_MODE_CODE,PROCTOR_MODE_CODE,SCHOOL_ID,TEST_PLAYER_SCHOOL_ID,COURSE_ID,TEST_PLAYER_COURSE_ID,COURSE_SECTION_ID,TEST_PLAYER_COURSE_SECTION_ID,SCHOOL_YEAR,TEACEHER_ID,TEST_PLAYER_TEACEHER_ID,STUDENT_TEST_IDENTIFIER,DELETE_DATE,PARENT_TEST_SERIAL_ID,TEST_PLAYER_PARENT_TEST_ID,COMPLETE_DATE,
"1346310","205356116","23242","6/27/2011 9:34:36 AM","6/27/2011 9:35:35 AM","N","6.M.08_01","25463","6.M.08_01","Catalog","5","5","O","N","228","228","228-MATH-6-602","15429","602","602","2011","0","0","","","","","6/27/2011 9:35:35 AM"
"1346280","222307621","23699","6/27/2011 9:33:08 AM","6/27/2011 9:35:36 AM","N","6.S.04_04","24642","6.S.04_04","Catalog","4","5","O","N","228","228","228-MATH-6-601","15428","601","601","2011","0","0","","","","","6/27/2011 9:35:36 AM"
"1346316","205514425","21813","6/27/2011 9:34:47 AM","6/27/2011 9:35:37 AM","N","6.M.04_04","24756","6.M.04_04","Catalog","1","5","O","N","228","228","228-MATH-6-602","15429","602","602","2011","0","0","","","","","6/27/2011 9:35:37 AM"
"1346309","207752635","23158","6/27/2011 9:34:35 AM","6/27/2011 9:35:38 AM","N","6.M.05_02","24760","6.M.05_02","Catalog","2","5","O","N","228","228","228-MATH-6-602","15429","602","602","2011","0","0","","","","","6/27/2011 9:35:38 AM"
"1346315","215429531","21412","6/27/2011 9:34:45 AM","6/27/2011 9:35:38 AM","N","6.M.04_02","24754","6.M.04_02","Catalog","1","5","O","N","228","228","228-MATH-6-601","15428","601","601","2011","0","0","","","","","6/27/2011 9:35:38 AM"
"1346314","205448723","21624","6/27/2011 9:34:45 AM","6/27/2011 9:35:41 AM","N","6.G.06_02","24232","6.G.06_02","Catalog","3","5","O","N","228","228","228-MATH-6-605","15431","605","605","2011","0","0","","","","","6/27/2011 9:35:41 AM"
"1346271","227230265","23229","6/27/2011 9:32:21 AM","6/27/2011 9:35:43 AM","N","6.G.08_01","25457","6.G.08_01","Catalog","3","5","O","N","228","228","228-MATH-6-601","15428","601","601","2011","0","0","","","","","6/27/2011 9:35:43 AM"
"1346333","203853338","21378","6/27/2011 9:35:22 AM","6/27/2011 9:35:50 AM","N","6.S.05_02","24394","6.S.05_02","Catalog","0","5","O","N","228","228","228-MATH-6-601","15428","601","601","2011","0","0","","","","","6/27/2011 9:35:50 AM"
"1346274","205568900","21525","6/27/2011 9:32:39 AM","6/27/2011 9:35:51 AM","N","6.G.10_01","24257","6.G.10_01","Catalog","2","5","O","N","228","228","228-MATH-6-603","15430","603","603","2011","0","0","","","","","6/27/2011 9:35:51 AM"
"1346331","207824244","21551","6/27/2011 9:35:15 AM","6/27/2011 9:35:51 AM","N","6.S.03_05","24390","6.S.03_05","Catalog","2","5","O","N","228","228","228-MATH-6-603","15430","603","603","2011","0","0","","","","","6/27/2011 9:35:51 AM"
"1346291","208150631","21556","6/27/2011 9:34:13 AM","6/27/2011 9:35:52 AM","N","6.S.08_04","30489","6.S.08_04","Catalog","1","5","O","N","228","228","228-MATH-6-603","15430","603","603","2011","0","0","","","","","6/27/2011 9:35:52 AM"
"1346272","220282362","23420","6/27/2011 9:32:34 AM","6/27/2011 9:35:53 AM","N","6.G.06_02","24232","6.G.06_02","Catalog","4","5","O","N","228","228","228-MATH-6-601","15428","601","601","2011","0","0","","","","","6/27/2011 9:35:53 AM"
"1346258","207960378","21654","6/27/2011 9:29:39 AM","6/27/2011 9:36:00 AM","N","6.G.07_01","30425","6.G.07_01","Catalog","1","5","O","N","228","228","228-MATH-6-605","15431","605","605","2011","0","0","","","","","6/27/2011 9:36:00 AM"
"1346304","205696883","23741","6/27/2011 9:34:31 AM","6/27/2011 9:36:10 AM","N","6.S.05_04","24396","6.S.05_04","Catalog","2","5","O","N","228","228","228-MATH-6-603","15430","603","603","2011","0","0","","","","","6/27/2011 9:36:10 AM"
"1346318","216211045","21574","6/27/2011 9:34:50 AM","6/27/2011 9:36:16 AM","N","6.S.07_02","24408","6.S.07_02","Catalog","3","5","O","N","228","228","228-MATH-6-605","15431","605","605","2011","0","0","","","","","6/27/2011 9:36:16 AM"
"1346296","205642036","21628","6/27/2011 9:34:24 AM","6/27/2011 9:36:20 AM","N","6.S.08_03","30488","6.S.08_03","Catalog","1","5","O","N","228","228","228-MATH-6-605","15431","605","605","2011","0","0","","","","","6/27/2011 9:36:20 AM"
"1346324","223295759","21421","6/27/2011 9:35:05 AM","6/27/2011 9:36:23 AM","N","5.G.14_01","23895","5.G.14_01","Catalog","2","5","O","N","228","228","228-MATH-6-601","15428","601","601","2011","0","0","","","","","6/27/2011 9:36:23 AM"
"1346339","206581738","21540","6/27/2011 9:35:39 AM","6/27/2011 9:36:31 AM","N","6.M.04_02","24754","6.M.04_02","Catalog","2","5","O","N","228","228","228-MATH-6-603","15430","603","603","2011","0","0","","","","","6/27/2011 9:36:31 AM"
"1346285","206250409","21531","6/27/2011 9:33:46 AM","6/27/2011 9:36:31 AM","N","6.M.07_02","25559","6.M.07_02","Catalog","2","5","O","N","228","228","228-MATH-6-603","15430","603","603","2011","0","0","","","","","6/27/2011 9:36:31 AM"
"1346341","209078237","21489","6/27/2011 9:36:00 AM","6/27/2011 9:36:31 AM","N","6.M.07_01","25558","6.M.07_01","Catalog","4","5","O","N","228","228","228-MATH-6-602","15429","602","602","2011","0","0","","","","","6/27/2011 9:36:31 AM"
"1346268","205303225","21620","6/27/2011 9:32:16 AM","6/27/2011 9:36:36 AM","N","6.G.03_03_spin020711","30329","6.G.03_03","Catalog","1","5","O","N","228","228","228-MATH-6-605","15431","605","605","2011","0","0","","","","","6/27/2011 9:36:36 AM"
"1346325","206039257","21847","6/27/2011 9:35:05 AM","6/27/2011 9:36:36 AM","N","6.G.08_04","25460","6.G.08_04","Catalog","2","5","O","N","228","228","228-MATH-6-602","15429","602","602","2011","0","0","","","","","6/27/2011 9:36:36 AM"
"1346273","205895683","21633","6/27/2011 9:32:39 AM","6/27/2011 9:36:46 AM","N","6.G.05_01","24225","6.G.05_01","Catalog","4","5","O","N","228","228","228-MATH-6-605","15431","605","605","2011","0","0","","","","","6/27/2011 9:36:46 AM"
"1346340","206001752","23155","6/27/2011 9:35:59 AM","6/27/2011 9:36:46 AM","N","6.S.04_02","24640","6.S.04_02","Catalog","1","5","O","N","228","228","228-MATH-6-603","15430","603","603","2011","0","0","","","","","6/27/2011 9:36:46 AM"
"1346321","205494230","21521","6/27/2011 9:34:53 AM","6/27/2011 9:36:48 AM","N","7.N.13_03","24905","7.N.13_03","Catalog","4","5","O","N","228","228","228-MATH-6-603","15430","603","603","2011","0","0","","","","","6/27/2011 9:36:48 AM"
"1346288","205924913","21450","6/27/2011 9:34:04 AM","6/27/2011 9:36:48 AM","N","7.N.13_01","24903","7.N.13_01","Catalog","4","5","O","N","228","228","228-MATH-6-602","15429","602","602","2011","0","0","","","","","6/27/2011 9:36:48 AM"
"1346284","206286643","21452","6/27/2011 9:33:24 AM","6/27/2011 9:36:50 AM","N","6.S.05_04","24396","6.S.05_04","Catalog","1","5","O","N","228","228","228-MATH-6-602","15429","602","602","2011","0","0","","","","","6/27/2011 9:36:50 AM"
"1346323","222895484","21418","6/27/2011 9:35:03 AM","6/27/2011 9:36:50 AM","N","6.G.10_03","24259","6.G.10_03","Catalog","5","5","O","N","228","228","228-MATH-6-601","15428","601","601","2011","0","0","","","","","6/27/2011 9:36:50 AM"
"1346306","205762495","23222","6/27/2011 9:34:33 AM","6/27/2011 9:36:51 AM","N","6.A.06 NMF_02_spin020411","30322","6.A.06_02","Catalog","1","5","O","N","228","228","228-MATH-6-601","15428","601","601","2011","0","0","","","","","6/27/2011 9:36:51 AM"
